@lat	@lon	name	addr:street	addr:housenumber	addr:postcode	addr:city	cuisine	website
47.3361381	8.5322408	Il Grappolo	Widmerstrasse	64	8038	Zürich	italian;pizza	https://www.restaurant-ilgrappolo.ch/
47.3441320	8.5326994	yan-ruyi					chinese	http://ruyi-restaurant.ch/
47.3441844	8.5331028	Renggergut						
47.3435586	8.5368559	Ziegel oh Lac	Seestrasse	407	8038	Zürich		http://www.ziegelohlac.ch/
47.3828070	8.4929412	UBS Restaurant Flur	Flurstrasse	70	8048	Zürich		
47.3814984	8.5025715	Shilla					korean	https://www.shilla.ch/
47.3825781	8.5012681	Da Cono	Badenerstrasse	526	8048	Zürich	italian	http://www.dacono.ch/
47.3842422	8.4978272	Pizza Züri					italian	
47.3841009	8.4964028	Turbinenhalle	Badenerstrasse	571	8048	Zürich	burger;regional	http://www.turbinenhalle.ch
47.3765101	8.5112790	Z am Park	Zurlindenstrasse	275	8003	Zürich		http://zampark.ch
47.4097670	8.5374793	Gabbiano Pizza & Pasta	Regensbergstrasse	186	8050	Zürich	pizza;italian;burger	http://www.gabbiano-exp.ch/
47.3703727	8.5399233	Zeughauskeller	Bahnhofstrasse	28a	8001	Zürich		https://www.zeughauskeller.ch/
47.3849796	8.5482469	Zum Alten Löwen	Universitätstrasse	111	8006	Zürich		https://www.altenloewen.ch/
47.3420405	8.5304612	Cafe Medina	Albisstrasse	72				http://www.cafemedina.ch/
47.3733042	8.5367495	Haus Hiltl	Sihlstrasse	28	8001	Zürich		https://hiltl.ch/
47.3794422	8.5470198	Ristorante Culmann	Culmannstrasse	1	8006	Zürich	italian;pizza	
47.3797201	8.5469255	La Fontana					italian	https://www.instagram.com/la_fontana_zurich/
47.4001030	8.5436425	Il Postino	Schaffhauserstrasse	188	8057	Zürich	italian;pizza	http://www.ilpostino.ch/
47.3910962	8.4888858	Peking Garden	Hohlstrasse	560	8048	Zürich	chinese	https://www.peking-garden.ch/pg_restaurant/zuerich-altstetten/
47.4292515	8.4893752	Waldhaus Katzensee					regional	https://waldhaus-katzensee.ch/
47.3734628	8.5534720	Oberhof	Zürichbergstrasse	24	8032	Zürich	regional	http://www.restaurant-oberhof.ch/
47.3835914	8.5283234	Dar	Gasometerstrasse	5	8005	Zürich	moroccan	https://www.restaurantdar.com/
47.3697879	8.5563885	Rosengarten	Gemeindestrasse	60	8032	Zürich		https://www.rosengarten.ch/
47.3761503	8.5593740	Grain						https://grain.ch/
47.3995321	8.5727756	Wirtschaft Ziegelhütte	Hüttenkopfstrasse	70	8050	Zürich		http://www.wirtschaft-ziegelhuette.ch/
47.3773106	8.5130089	pho 50						
47.3761581	8.5147672	Taverne da Angelo					italian	http://www.taverne-da-angelo.ch/
47.4145066	8.5330149	Tasteria	Robert-Maillart-Strasse	14	8050	Zürich		
47.4143917	8.5394550	Kai Sushi	Ellen-Widmann-Weg	2	8050	Zürich	sushi	https://kaisushi.ch/de/standorte/kai-sushi-oerlikon/
47.3639501	8.5201156	Ploy-Thai	Uetlibergstrasse	38	8045	Zürich	asian	http://www.ploy-thai-restaurant.ch
47.3697414	8.5100698	Shangrila Tibet	Birmensdorferstrasse	297	8055	Zürich	asian	https://www.shangrila-tibet.ch/
47.3625799	8.5191275	Mezzo					italian	https://mezzo.ch/
47.3641859	8.5204226	Verona					italian;pizza	https://www.restaurantverona.ch/
47.3651417	8.5200023	Hopfenau	Hopfenstrasse	19	8045	Zürich	regional	https://hopfenau.ch/
47.3673432	8.5200355	Jane Fine Food						https://janefindefood.com
47.3592215	8.5162289	Swaad	Uetlibergstrasse	166	8045	Zürich	indian;thai	http://www.swaad.ch/
47.3613874	8.5494120	Latino	Seegartenstrasse	14	8008	Zürich		https://www.hotel-seegarten.ch/
47.3618394	8.5506873	Ginger	Seefeldstrasse	62	8008	Zürich	sushi	http://ginger-restaurant.ch/
47.3618934	8.5510330	Tiffins	Seefeldstrasse	61	8008	Zürich	asian	http://www.tiffins.ch/
47.3630112	8.5495281	Asian Moon	Seefeldstrasse	40	8008	Zürich	asian	https://suan-long.ch/asianmoon/
47.3675511	8.5457188	Kronenhalle	Rämistrasse	4	8001	Zürich	french;regional	
47.3678872	8.5443882	Terrasse Restaurant	Limmatquai	3	8001	Zürich		https://www.bindella.ch/de/terrasse-restaurant.html
47.3677915	8.5451575	Café/Bar Odeon	Limmatquai	2				http://www.odeon.ch/
47.3673843	8.5458541	Rosalys	Freieckgasse	7	8001	Zürich	french;regional	https://www.rosalys.ch/
47.3670484	8.5462454	Union Diner	St. Urbangasse	4	8001	Zürich	burger	https://uniondiner.ch/en/bellevue
